meter,Date,t_kWh
MH01,01-05-2019,5.252
MH01,02-05-2019,4.77
MH01,03-05-2019,5.169
MH01,04-05-2019,5.41
MH01,05-05-2019,6.688
MH01,06-05-2019,4.577
MH01,07-05-2019,4.614
MH01,08-05-2019,6.326
MH01,09-05-2019,5.32
MH01,10-05-2019,5.592
MH01,11-05-2019,6.254
MH01,12-05-2019,5.569
MH01,13-05-2019,5.178
MH01,14-05-2019,4.853
MH01,15-05-2019,4.572
MH01,16-05-2019,3.713
MH01,17-05-2019,4.823
MH01,18-05-2019,3.652
MH01,19-05-2019,5.415
MH01,20-05-2019,5.103
MH01,21-05-2019,6.235
MH01,22-05-2019,6.488
MH01,23-05-2019,5.37
MH01,24-05-2019,4.814
MH01,25-05-2019,5.661
MH01,26-05-2019,5.803
MH01,27-05-2019,6.324
MH01,28-05-2019,6.779
MH01,29-05-2019,6.218
MH01,30-05-2019,6.942
MH01,31-05-2019,7.339
MH01,01-06-2019,2.437
MH01,02-06-2019,8.985
MH01,03-06-2019,7.663
MH01,04-06-2019,4.847
MH01,05-06-2019,4.5
MH01,06-06-2019,6.524
MH01,07-06-2019,5.955
MH01,08-06-2019,5.657
MH01,09-06-2019,5.269
MH01,10-06-2019,5.881
MH01,11-06-2019,5.766
MH01,12-06-2019,5.195
MH01,13-06-2019,4.674
MH01,14-06-2019,5.749
MH01,15-06-2019,6.191
MH01,16-06-2019,4.247
MH01,17-06-2019,5.478
MH01,18-06-2019,4.225
MH01,19-06-2019,3.069
MH01,20-06-2019,3.589
MH01,21-06-2019,5.92
MH01,22-06-2019,5.807
MH01,23-06-2019,6.449
MH01,24-06-2019,5.536
MH01,25-06-2019,5.833
MH01,26-06-2019,6.442
MH01,27-06-2019,5.631
MH01,28-06-2019,5.668
MH01,29-06-2019,5.985
MH01,30-06-2019,6.508
MH01,01-07-2019,5.46
MH01,02-07-2019,5.223
MH01,03-07-2019,5.237
MH01,04-07-2019,5.974
MH01,05-07-2019,0.016
MH01,06-07-2019,3.801
MH01,07-07-2019,8.043
MH01,08-07-2019,5.099
MH01,09-07-2019,4.25
MH01,10-07-2019,7.355
MH01,11-07-2019,7.146
MH01,12-07-2019,6.911
MH01,13-07-2019,7.505
MH01,14-07-2019,8.379
MH01,15-07-2019,8.825
MH01,16-07-2019,7.792
MH01,17-07-2019,6.288
MH01,18-07-2019,7.444
MH01,19-07-2019,5.626
MH01,20-07-2019,8.111
MH01,21-07-2019,7.007
MH01,22-07-2019,6.204
MH01,23-07-2019,8.888
MH01,24-07-2019,8.656
MH01,25-07-2019,5.979
MH01,26-07-2019,5.18
MH01,27-07-2019,5.021
MH01,28-07-2019,6.175
MH01,29-07-2019,6.844
